Occurrence Number,Date,Registration,Classification,Type,Location,State,Aerodrome,Operation,Status,Link,History
83886,2024-03-09,****,INCIDENTE,COLISÃO COM AVE,CHAPECÓ,SC,SBCH,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83886,"Durante revisão de pista, foram recolhidas carcaças de aves. Não foi possível identificar a aeronave envolvida na ocorrência."
83882,2024-03-09,****,INCIDENTE,COLISÃO COM AVE,CAMPINAS,SP,SBKP,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83882,"Durante a fase de decolagem, houve colisão com ave."
83876,2024-03-09,****,INCIDENTE,COLISÃO COM AVE,TERESINA,PI,SBTE,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83876,"Durante a fase de aproximação, houve colisão com ave."
83874,2024-03-09,****,INCIDENTE,COLISÃO COM AVE,GOIÂNIA,GO,SBGO,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83874,"Durante a fase de pouso, houve colisão com ave."
83870,2024-03-09,****,INCIDENTE,COLISÃO COM AVE,RIO DE JANEIRO,RJ,SBGL,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83870,"Durante a fase de pouso, houve colisão com ave."
83869,2024-03-09,****,INCIDENTE,COLISÃO COM AVE,IMPERATRIZ,MA,SBIZ,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83869,"Durante a fase de pouso, houve colisão com ave."
83855,2024-03-09,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RIO DE JANEIRO,RJ,SBGL,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83855,"A aeronave decolou do Aeroporto do Galeão - Antônio Carlos Jobim (SBGL), Rio de Janeiro, RJ, com destino ao Aeroporto de Congonhas - Deputado Freitas Nobre (SBSP), São Paulo, SP, a fim de realizar transporte aéreo público regular. Durante o voo, a aeronave apresentou falha no sistema hidráulico. Optou-se por retornar ao aeroporto de origem. O pouso ocorreu sem mais intercorrências e a aeronave foi entregue à manutenção."
84118,2024-03-08,****,INCIDENTE,COLISÃO COM AVE,IMPERATRIZ,MA,SBIZ,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/84118,"Durante a fase de pouso, houve colisão com ave."
84115,2024-03-08,****,INCIDENTE,COLISÃO COM AVE,BELO HORIZONTE,MG,SBCF,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/84115,"Durante a fase de aproximação, houve colisão com ave."
83924,2024-03-08,****,INCIDENTE,COLISÃO COM AVE,TERESINA,PI,SBTE,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83924,"Durante a fase de decolagem, houve colisão com ave."
83917,2024-03-08,****,INCIDENTE,COLISÃO COM AVE,SALVADOR,BA,SBSV,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83917,"Durante inspeção de trânsito/intervoo, foi encontrado vestígio de colisão com ave."
83905,2024-03-08,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,MANAUS,AM,SBEG,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83905,"A aeronave decolou do aeroporto Presidente Juscelino Kubitschek (SBBR), Brasília, DF, com destino ao aeroporto Eduardo Gomes (SBEG), Manaus, AM, a fim de realizar transporte aéreo público regular. Durante a fase de aproximação para pouso, a aeronave apresentou mau funcionamento no sistema de acionamento dos FLAPES. Os procedimentos previstos em manual foram realizados e o pouso ocorreu sem maiores intercorrências. A aeronave foi entregue para equipe de manutenção após o pouso."
83879,2024-03-08,****,INCIDENTE,COLISÃO COM AVE,PARAUAPEBAS,PA,SBCJ,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83879,"Durante a fase de pouso, houve colisão com ave."
83878,2024-03-08,****,INCIDENTE,COLISÃO COM AVE,TABATINGA,AM,SBTT,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83878,"Durante a fase de pouso, houve colisão com ave."
83877,2024-03-08,****,INCIDENTE,COLISÃO COM AVE,PORTO VELHO,RO,SBPV,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83877,"Durante a fase de aproximação, houve colisão com ave."
83873,2024-03-08,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,NATAL,RN,SBSG,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83873,"A aeronave decolou do Aeroporto São Gonçalo do Amarante - Governador Aluizio Alves (SBSG), Natal, RN, com destino ao Aeroporto dos Guararapes - Gilberto Freyre (SBRF), Recife, PE, a fim de realizar transporte aéreo público regular. Durante a subida, a aeronave apresentou falha no sistema de pressurização. Os procedimentos previstos em manual foram realizados e optou-se por retornar ao aeroporto de origem. O pouso ocorreu sem mais intercorrências."
83868,2024-03-08,****,INCIDENTE,COLISÃO COM AVE,PORTO SEGURO,BA,SBPS,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83868,"Durante a fase de decolagem, houve colisão com ave."
83867,2024-03-08,****,INCIDENTE,COLISÃO COM AVE,PORTO VELHO,RO,SBPV,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83867,"Durante inspeção de trânsito/intervoo, foi verificado vestígio de colisão com ave."
83858,2024-03-08,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,GOIÂNIA,GO,SBGO,PRIVADA,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83858,"A aeronave decolou do Aeroporto Santa Genoveva (SBGO), Goiânia, GO, com destino ao Aeroporto Internacional Jorge Wilstermann (SLCB), Cochabamba, Bolívia, a fim de realizar transporte de passageiros. Durante a fase de cruzeiro, a aeronave apresentou mau funcionamento do sistema de pressurização. Os procedimentos previstos em manual foram efetuados e optou-se por retornar ao aeroporto de origem. O pouso ocorreu sem mais intercorrências."
83854,2024-03-08,****,INCIDENTE,COLISÃO COM AVE,JUNDIAÍ,SP,SBJD,PRIVADA,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83854,"A aeronave decolou do aeródromo Fazenda 7 Reis (SWIZ), Nova Alvorada do Sul, MS, com destino ao aeródromo Comandante Rolim Adolfo Amaro (SBJD), Jundiaí, SP com um tripulante e dois passageiros a bordo, a fim de realizar um voo privado. Ao cruzar o aeródromo para o circuito de tráfego, ocorreu a colisão com uma ave. O pouso foi efetuado sem mais intercorrências."
83906,2024-03-07,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DO MOTOR,RIO DE JANEIRO,RJ,SBGL,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83906,"A aeronave tinha previsão de decolagem do Aeroporto do Galeão - Antônio Carlos Jobim (SBGL), Rio de Janeiro, RJ, com destino ao Aeroporto Internacional George Bush (KIAH), Houston, EUA, a fim de realizar transporte aéreo público regular. Após o procedimento de pushback, a aeronave apresentou falha na indicação de temperatura do motor. A aeronave retornou ao portão de estacionamento, onde os passageiros foram desembarcados com segurança. Não houve mais intercorrências."
83904,2024-03-07,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CAMPINAS,SP,SBKP,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83904,"A aeronave decolou do Aeroporto dos Guararapes - Gilberto Freyre  (SBRF), Recife, PE, com destino ao Aeroporto de Viracopos (SBKP), Campinas, SP, a fim de realizar transporte aéreo público regular. Após o pouso da aeronave, foi verificado em inspeção externa, que a aeronave estava sem um painel (carenagem) que fica localizado no lado esquerdo do leme. A aeronave foi entregue para equipe de manutenção e não houve mais intercorrências."
83866,2024-03-07,****,INCIDENTE,COLISÃO COM AVE,CUIABÁ,MT,SBCY,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83866,"Durante a fase de pouso, houve colisão com aves."
83865,2024-03-07,****,INCIDENTE,COLISÃO COM AVE,RIO DE JANEIRO,RJ,SBGL,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83865,"Durante a fase de decolagem, houve colisão com ave."
83863,2024-03-07,****,INCIDENTE,COLISÃO COM AVE,PORTO ALEGRE,RS,SBPA,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83863,"Durante revisão de pista, foi recolhida carcaça de ave. Não foi possível identificar a aeronave envolvida na ocorrência."
83852,2024-03-07,****,INCIDENTE,COLISÃO COM AVE,RIO DE JANEIRO,RJ,SBGL,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83852,"Durante a fase de decolagem, houve colisão com ave."
83835,2024-03-07,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,GUARULHOS,SP,SBGR,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83835,"A aeronave decolou do aeroporto Deputado Luís Eduardo Magalhães (SBSV), Salvador, BA, com destino ao aeroporto de Congonhas - Deputado Freitas Nobre (SBSP), São Paulo, SP, a fim de realizar transporte aéreo de cargas. Durante a fase de aproximação para pouso, com o piloto automático acoplado, ao selecionar a posição do FLAP para o número #1, a aeronave acelerou e subiu inadvertidamente. Os procedimentos previstos em manual foram realizados e o pouso foi efetuado normalmente. Não houve maiores intercorrências."
84111,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,BELÉM,PA,SBBE,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/84111,"Durante a fase de decolagem, houve colisão com ave."
83921,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,PETROLINA,PE,SBPL,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83921,"Durante revisão de pista, foi recolhida carcaça de ave. Não foi possível identificar a aeronave envolvida na ocorrência."
83907,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,MANAUS,AM,SBEG,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83907,"Houve colisão com ave, possivelmente, durante a fase de pouso."
83903,2024-03-06,****,INCIDENTE,OPERAÇÕES NO SOLO,SÃO LUÍS,MA,SBSL,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83903,"A aeronave decolou do aeroporto Deputado Luís Eduardo Magalhães (SBSV), Salvador, BA, com destino ao aeroporto Marechal Cunha Machado (SBSL), São Luís, MA, a fim de realizar transporte aéreo público regular. Durante o processo de desembarque dos passageiros, a ponte de acesso ao Terminal de Passageiros colidiu com a parte inferior da porta da aeronave. Os procedimentos previstos em manual foram realizados e a aeronave seguiu para operação normal."
83898,2024-03-06,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DO MOTOR,RECIFE,PE,SBRF,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83898,"A aeronave decolou do Aeroporto dos Guararapes - Gilberto Freyre  (SBRF), Recife, PE, com destino ao Aeroporto Brigadeiro Firmino Ayres (SNTS), Patos, BA, a fim de realizar transporte aéreo público regular. Durante a fase de decolagem, foi verificado avanço na posição da hélice. O voo retornou para o aeroporto de origem e o pouso foi efetuado sem mais intercorrências. A aeronave foi entregue para equipe de manutenção após o pouso."
83892,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,CURITIBA,PR,SBBI,PRIVADA,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83892,"Durante a fase de taxi, houve colisão com ave."
83890,2024-03-06,PRAAB,ACIDENTE,FALHA OU MAU FUNCIONAMENTO DO MOTOR,BELO HORIZONTE,MG,SBBH,ESPECIALIZADA,ATIVA,https://dedalo.sti.fab.mil.br/ocorrencia/83890,"A aeronave decolou do Aeroporto da Pampulha - Carlos Drummond de Andrade (SBBH), Belo Horizonte, MG, a fim de realizar um voo local, com três tripulantes à bordo. Após a decolagem ocorreu a falha do motor e os pilotos realizaram uma tentativa de pouso de emergência na cabeceira oposta. A aeronave veio a colidir com o solo."
83887,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,PORTO ALEGRE,RS,SBPA,PRIVADA,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83887,"Durante a fase de pouso, houve colisão com ave."
83864,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,RECIFE,PE,SBRF,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83864,"Durante revisão de pista, foram recolhidas carcaças de aves. Não foi possível identificar a aeronave envolvida na ocorrência."
83862,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,PALMAS,TO,SBPJ,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83862,"Durante revisão de pista, foi recolhida carcaça de ave. Não foi possível identificar a aeronave envolvida na ocorrência."
83860,2024-03-06,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DO MOTOR,BRASÍLIA,DF,SBBR,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83860,"A aeronave tinha previsão de decolagem do Aeroporto de Brasília - Presidente Juscelino Kubitschek (SBBR), Brasília, DF, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, a fim de realizar transporte aéreo público regular. Durante acionamento dos motores, ocorreu a indicação EGT (temperatura dos Gases de Escapamento). A aeronave foi entregue para a equipe de manutenção. Não houve mais intercorrências."
83853,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,PORTO ALEGRE,RS,SBPA,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83853,"Durante a fase de aproximação, houve colisão com ave."
83843,2024-03-06,****,INCIDENTE,COLISÃO COM FAUNA,LONDRINA,PR,SBLO,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83843,"Durante revisão de pista, foi recolhida carcaça de fauna. Não foi possível identificar a aeronave envolvida na ocorrência."
83839,2024-03-06,****,INCIDENTE,COLISÃO COM FAUNA,FORTALEZA,CE,SBFZ,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83839,"Durante revisão de pista, foi recolhida carcaça de fauna. Não foi possível identificar a aeronave envolvida na ocorrência."
83838,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,FORTALEZA,CE,SBFZ,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83838,"Durante revisão de pista, foi recolhida carcaça de ave. Não foi possível identificar a aeronave envolvida na ocorrência."
83834,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,TERESINA,PI,SBTE,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83834,"Durante a fase de pouso, houve colisão com aves."
83832,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,RIO DE JANEIRO,RJ,SBGL,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83832,"Durante a fase de decolagem, houve colisão com ave."
83830,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,PATO BRANCO,PR,SBPO,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83830,"Durante a fase de pouso, houve colisão com ave."
83829,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,PORTO ALEGRE,RS,SBPA,TÁXI AÉREO,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83829,"Durante a fase de aproximação, houve colisão com aves."
83828,2024-03-06,****,INCIDENTE,COLISÃO COM AVE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83828,"Durante a fase de pouso, houve colisão com ave."
83821,2024-03-06,PSOGW,INCIDENTE GRAVE,EXCURSÃO DE PISTA,JOÃO PINHEIRO,MG,FAER,AGRÍCOLA,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83821,"A aeronave decolou da área de pouso para uso aeroagrícola da Fazenda Jucurutu, no município de João Pinheiro, MG, a fim de realizar aplicação de defensivo agrícola, com um tripulante a bordo. Após a decolagem, o piloto decidiu realizar uma abortiva e retornar para pista, pousando em frente. A aeronave veio a extrapolar o limite final da pista."
83816,2024-03-06,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,RECIFE,PE,SBRF,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83816,"A aeronave decolou do aeroporto dos Guararapes - Gilberto Freyre (SBRF), Recife, PE, com destino ao aeroporto Santa Maria (SBAR), Aracaju, SE, a fim de realizar transporte aéreo publico regular. Durante a fase de decolagem, a aeronave apresentou alerta de fogo no motor de número #1. Após a realização dos procedimentos previstos em manual, o voo retornou para o aeroporto de origem. O pouso foi realizado sem intercorrências e não foi identificado fogo ou fumaça."
83942,2024-03-05,****,INCIDENTE,COLISÃO COM AVE,GOIANÁ,MG,SBZM,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83942,"Durante revisão de pista, foi recolhida carcaça de ave. Não foi possível identificar a aeronave envolvida na ocorrência."
83902,2024-03-05,****,INCIDENTE,OPERAÇÕES NO SOLO,SÃO LUÍS,MA,SBSL,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83902,"A aeronave com previsão de decolagem do Aeroporto Marechal Cunha Machado (SBSL), São Luís, MA, com destino ao Aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, para efetuar transporte aéreo público regular. Durante a fase de embarque houve falha no sistema de nivelamento automático de portas. Os passageiros desembarcaram em segurança e a aeronave foi entregue à equipe de manutenção."
83859,2024-03-05,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CAMPINAS,SP,SBKP,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83859,"A aeronave tinha previsão de decolagem do Aeroporto de Viracopos (SBKP), Campinas, SP, com destino ao Aeroporto Eduardo Gomes (SBEG), Manaus, AM, a fim de realizar transporte aéreo público regular. Durante a corrida de decolagem, a aeronave apresentou mensagem de 'Porta de compartimento de carga aberta'. A decolagem foi abortada e a aeronave retornou ao pátio de estacionamento. Não houve mais intercorrências."
83844,2024-03-05,****,INCIDENTE,COLISÃO COM FAUNA,MARABÁ,PA,SBMA,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83844,"Durante revisão de pista, foi recolhida carcaça de fauna. Não foi possível identificar a aeronave envolvida na ocorrência."
83842,2024-03-05,****,INCIDENTE,COLISÃO COM AVE,FORTALEZA,CE,SBFZ,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83842,Houve colisão com ave durante a fase de decolagem.
83840,2024-03-05,****,INCIDENTE,COLISÃO COM AVE,MACEIÓ,AL,SBMO,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83840,"Durante revisão de pista, foi recolhida carcaça de ave. Não foi possível identificar a aeronave envolvida na ocorrência."
83837,2024-03-05,****,INCIDENTE,COLISÃO COM AVE,RIO DE JANEIRO,RJ,SBGL,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83837,Houve colisão com ave durante a fase de decolagem.
83826,2024-03-05,****,INCIDENTE,COLISÃO COM AVE,PORTO ALEGRE,RS,SBPA,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83826,"Durante a fase de pouso, houve colisão com ave."
83824,2024-03-05,****,INCIDENTE,COLISÃO COM AVE,PORTO ALEGRE,RS,SBPA,NÃO REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83824,"Durante a fase de decolagem, houve colisão com ave."
83820,2024-03-05,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SÃO ROQUE,SP,SBJH,PRIVADA,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83820,"A aeronave decolou do aeródromo Campo Edu Chaves (SBGW), Guaratinguetá, SP, com destino ao aeródromo Campo de Marte (SBMT), São Paulo, SP, a fim de realizar um voo privado, com dois tripulantes e quatro passageiros a bordo. Durante a decolagem, a tripulação ouviu um estrondo e, posteriormente, ocorreu uma falha no recolhimento do trem de pouso. Devido às condições meteorológicas desfavoráveis no destino planejado, o pouso foi realizado no aeródromo São Paulo Catarina Aeroporto Executivo (SBJH), São Roque, SP. Durante a corrida de pouso ocorreu falha parcial de sustentação do trem de pouso dianteiro. Houve necessidade de a aeronave permanecer na pista."
83817,2024-03-05,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CAMPINAS,SP,SBKP,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83817,"A aeronave decolou do Aeroporto de Viracopos (SBKP), Campinas, SP, com destino ao aeroporto Bartolomeu Lisandro (SBCP), Campos dos Goytacazes, RJ, a fim de realizar transporte aéreo público regular. Durante a fase de cruzeiro, ocorreu uma trinca no para-brisa da aeronave. Após a realização dos procedimentos previstos em manual, o voo retornou ao aeroporto de origem. O pouso foi realizado sem intercorrências."
83799,2024-03-05,****,INCIDENTE,COLISÃO COM FAUNA,GOIÂNIA,GO,SBGO,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83799,"Durante revisão de pista, foi recolhida carcaça de fauna. Não foi possível identificar a aeronave envolvida na ocorrência."
84104,2024-03-04,****,INCIDENTE,COLISÃO COM AVE,PETROLINA,PE,SBPL,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/84104,"Durante revisão de pista, foi recolhida carcaça de ave. Não foi possível identificar a aeronave envolvida na ocorrência."
83912,2024-03-04,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,CAMPINAS,SP,SBKP,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83912,"A aeronave tinha previsão de decolagem do Aeroporto de Viracopos (SBKP), Campinas, SP, com destino ao Aeroporto de Araçatuba (SBAU), Araçatuba, SP, a fim de realizar transporte aéreo público regular. Durante a fase de táxi, a aeronave apresentou a mensagem de falha no sistema de ar-condicionado e pressurização proveniente do motor #1. Após a execução dos procedimentos previstos em manual, a tripulação decidiu retornar para o ponto de estacionamento. A aeronave foi entregue para a equipe de manutenção. Não houve mais intercorrências."
83857,2024-03-04,****,INCIDENTE,CONTATO ANORMAL COM A PISTA,FERNANDO DE NORONHA,PE,SBFN,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83857,"A aeronave decolou do Aeroporto dos Guararapes - Gilberto Freyre (SBRF), Recife, PE, com destino ao Aeroporto de Fernando de Noronha (SBFN), PE, a fim de realizar transporte aéreo público regular. Durante o pouso, ocorreu contato da cauda da aeronave com a pista. O pouso foi efetuado sem mais intercorrências."
83856,2024-03-04,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,NAVEGANTES,SC,SBNF,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83856,"A aeronave tinha previsão de decolagem do Aeroporto Ministro Victor Konder (SBNF), Navegantes, SC, com destino ao Aeroporto de Congonhas - Deputado Freitas Nobre (SBSP), São Paulo, SP, a fim de realizar transporte aéreo público regular. Durante o táxi, as máscaras caíram e, consequentemente, a aeronave retornou para o ponto de estacionamento e foi entregue para equipe de manutenção. Não houve mais intercorrências."
83822,2024-03-04,PRNIB,ACIDENTE,EXCURSÃO DE PISTA,BIRIGUI,SP,SJWQ,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83822,"A aeronave decolou de aeródromo desconhecido e realizou pouso no aeródromo CMTE Munir Djabak (SJWQ), Birigui, SP. Durante o pouso, a aeronave saiu pela lateral esquerda da pista e sofreu danos substanciais. Não há informações sobre a quantidade de pessoas a bordo. A tripulação se evadiu do local."
83810,2024-03-04,****,INCIDENTE,COLISÃO COM AVE,PALMAS,TO,SBPJ,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83810,"Durante revisão de pista, foi recolhida carcaça de ave. Não foi possível identificar a aeronave envolvida na ocorrência."
83809,2024-03-04,****,INCIDENTE,COLISÃO COM AVE,FORTALEZA,CE,SBFZ,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83809,"Durante a fase de decolagem, houve colisão com ave."
83805,2024-03-04,****,INCIDENTE,COLISÃO COM AVE,RIO DE JANEIRO,RJ,SBGL,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83805,"Durante a fase de decolagem, houve colisão com ave."
83802,2024-03-04,****,INCIDENTE,COLISÃO COM AVE,PALMAS,TO,SBPJ,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83802,"Durante revisão de pista, foi recolhida carcaça de ave. Não foi possível identificar a aeronave envolvida na ocorrência."
83794,2024-03-04,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,NAVEGANTES,SC,SBNF,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83794,"A aeronave tinha previsão de decolagem do aeroporto Ministro Victor Konder (SBNF), Navegantes, SC, com destino ao aeroporto Viracopos (SBKP), Campinas, SP, a fim de realizar transporte aéreo público regular. Durante a fase de pushback (tratoramento), a aeronave apresentou falha da BLEED do motor de número # 2. A aeronave retornou para o ponto de estacionamento e foi entregue para equipe de manutenção."
83789,2024-03-04,****,INCIDENTE,COLISÃO COM AVE,NATAL,RN,SBSG,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83789,"Durante a fase de pouso, houve colisão com ave."
83786,2024-03-04,****,INCIDENTE,COLISÃO COM AVE,TERESINA,PI,SBTE,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83786,"Durante a fase de pouso, houve colisão com ave."
83743,2024-03-04,****,INCIDENTE,COLISÃO COM AVE,PORTO ALEGRE,RS,SBPA,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83743,"Durante a fase de pouso, houve colisão com ave."
83833,2024-03-03,****,INCIDENTE,COLISÃO COM AVE,SALVADOR,BA,SBSV,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83833,"Durante a fase de decolagem, houve colisão com ave."
83818,2024-03-03,****,INCIDENTE,COLISÃO COM AVE,CAMPINAS,SP,SBKP,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83818,"Durante a fase de decolagem, houve colisão com ave."
83815,2024-03-03,****,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,VITÓRIA,ES,SBVT,REGULAR,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83815,"A aeronave decolou do aeroporto Porto Seguro (SBPS), Porto Seguro, BA, com destino ao aeroporto Leite Lopes (SBRP), Ribeirão Preto, SP, a fim de realizar transporte aéreo público regular. Durante a fase de cruzeiro, a aeronave apresentou mau funcionamento no sitema de controle de voo. Os procedimentos previstos em manual foram realizados e o pouso foi alternado para o aeroporto de Eurico de Aguiar Salles (SBVT), Vitória, ES. O pouso foi realizado normalmente e sem mais intercorrências."
83808,2024-03-03,****,INCIDENTE,COLISÃO COM AVE,MARINGÁ,PR,SBMG,***,FINALIZADA,https://dedalo.sti.fab.mil.br/ocorrencia/83808,"Durante revisão de pista, foi recolhida carcaça de ave. Não foi possível identificar a aeronave envolvida na ocorrência."
